,id,age,gender,race,region,tv_show,frequency,to_eat_1,to_eat_2,to_eat_3,to_eat_4,to_eat_5,at_home_1,at_home_2,at_home_3,at_restaurant_1,at_restaurant_2,at_restaurant_3,cook_prep_1,cook_prep_2,cook_prep_3,fruits_1,fruits_2,fruits_3
10,11,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,NCIS,4-5/WEEK,CORN,CARROTS,PEAS,,NONE,CARROTS,CORN,PEAS,BROCCOLI,CORN,PEAS,FRIED/AIR-FRIED,STEAMED,,BANANAS,APPLES,NONE
11,12,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THE OFFICE,DAILY 6-7 WEEK ,BROCCOLI,SPINACH,SQUASH,LETTUCE (ANY KIND),CAULIFLOWER,SPINACH,,NONE,SPINACH,,NONE,BAKED,BOILED,SAUTEED,STRAWBERRIES,RASPBERRIES,KIWI
12,13,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,TOP CHEF,DAILY 6-7 WEEK ,LETTUCE (ANY KIND),SPINACH,TOMATOES,,NONE,LETTUCE (ANY KIND),SPINACH,TOMATO,CAULIFLOWER,LETTUCE (ANY KIND),SPINACH,BAKED,,NONE,WATERMELON,ORANGES,GRAPES
13,14,30-39,1,"CAUCASIAN, NON-HISPANIC;",SOUTHWEST,OUTLANDER,DAILY 6-7 WEEK ,SPINACH,BROCCOLI,CARROTS,CAULIFLOWER,EGGPLANT,BROCCOLI,CARROTS,LETTUCE (ANY KIND),ASPARAGUS,SPINACH,BROCCOLI,GRILLED,SAUTEED,STEAMED,APPLES,BANANAS,GRAPES
14,15,20-29,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,NEW GIRL,2-3/WEEK,BROCCOLI,CARROTS,CAULIFLOWER,GREEN BEANS,SPINACH,GREEN BEANS,CAULIFLOWER,BROCCOLI,GREEN BEANS,BROCCOLI,CAULIFLOWER,STEAMED,,NONE,BLUEBERRIES,MANGOS,STRAWBERRIES
15,16,50-65,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,TWIN PEAKS,4-5/WEEK,CORN,PEAS,SPINACH,BELL PEPPERS,,CORN,,NONE,ASPARAGUS ,PEAS,CORN,BAKED,FRIED/AIR-FRIED,GRILLED,ORANGES,BANANAS,GRAPES
16,17,50-65,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,STRANGER THINGS,2-3/WEEK,SAUERKRAUT/CABBAGE,,NONE,NONE,NONE,SAUERKRAUT/CABBAGE,,NONE,SAUERKRAUT,,NONE,FRIED/AIR-FRIED,,NONE,BLUEBERRIES,RASPBERRIES,OTHER
17,18,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,NONE,2-3/WEEK,PEAS,GREEN BEANS,LETTUCE (ANY KIND),CARROTS,,GREEN BEANS,,NONE,GREEN BEANS,,NONE,BAKED,,NONE,PINEAPPLE,APPLES,WATERMELON
18,19,OVER 65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CHICAGO MED,4-5/WEEK,GREEN BEANS,LETTUCE (ANY KIND),SPINACH,CORN,,GREEN BEANS,LETTUCE (ANY KIND),,GREEN BEANS,LETTUCE (ANY KIND),SPINACH,STEAMED,,NONE,STRAWBERRIES,CHERRIES,BANANAS
19,20,30-39,1,"CAUCASIAN, NON-HISPANIC;OTHER/UNKNOWN;",MIDWEST,NEW GIRL,4-5/WEEK,BROCCOLI,CAULIFLOWER,GREEN BEANS,LETTUCE (ANY KIND),CORN,LETTUCE (ANY KIND),GREEN BEANS,CAULIFLOWER,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),STEAMED,,NONE,WATERMELON,GRAPEFRUIT,BERRIES
20,21,40-49,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,BATTLEBOTS,DAILY 6-7 WEEK ,CARROTS,CORN,LETTUCE (ANY KIND),GREEN BEANS,BROCCOLI,CARROTS,CORN,LETTUCE (ANY KIND),CORN,GREEN BEANS,BROCCOLI,STEAMED,BAKED,FRIED/AIR-FRIED,OTHER,OTHER,NONE
21,22,30-39,0,AFRICAN;,MIDWEST,BREAKING BAD,2-3/WEEK,CARROTS,GREEN BEANS,LETTUCE (ANY KIND),PEAS,,PEAS,GREEN BEANS,CARROTS,CORN,PEAS,,BAKED,FRIED/AIR-FRIED,GRILLED,APPLES,BANANAS,ORANGES
22,23,50-65,1,PREFER NOT TO SAY;,SOUTHWEST,FAMILY FEUD ,2-3/WEEK,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),SPINACH,CORN,BROCCOLI,GREEN BEANS,SPINACH,SPINACH,BROCCOLI,GREEN BEANS,GRILLED,BAKED,STEAMED,GRAPES,OTHER,PINEAPPLE
23,24,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CHICAGO MED,1/WEEK ,CORN,BROCCOLI,CARROTS,LETTUCE (ANY KIND),GREEN BEANS,CORN,GREEN BEANS,LETTUCE (ANY KIND),LETTUCE (ANY KIND),CORN,CARROTS,MICROWAVED,,NONE,APPLES,PINEAPPLE,STRAWBERRIES
24,25,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THE OFFICE,4-5/WEEK,BROCCOLI,CARROTS,CORN,,NONE,CARROTS,CORN,,BROCCOLI,CORN,,BAKED,BOILED,,STRAWBERRIES,PEARS,APPLES
25,26,30-39,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,RICK AND MORTY,2-3/WEEK,CARROTS,PEAS,SPINACH,BROCCOLI,CORN,BROCCOLI,PEAS,CORN,LETTUCE (ANY KIND),SPINACH,CAULIFLOWER,GRILLED,,NONE,BLUEBERRIES,ORANGES,RASPBERRIES
26,27,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,HELL'S KITCHEN ,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,CORN,GREEN BEANS,PEAS,BROCCOLI,CARROTS,GREEN BEANS,BROCCOLI,CAULIFLOWER,PEAS,STEAMED,SAUTEED,,MANGOS,PINEAPPLE,CHERRIES
27,28,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,BOB’S BURGERS,4-5/WEEK,BROCCOLI,CARROTS,CAULIFLOWER,CORN,SPINACH,BROCCOLI,CAULIFLOWER,CARROTS,SQUASH,BROCCOLI,CARROTS,SAUTEED,BAKED,STEAMED,BANANAS,APPLES,STRAWBERRIES
28,29,50-65,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,THIS IS US,2-3/WEEK,GREEN BEANS,,NONE,NONE,NONE,GREEN BEANS,,NONE,GREEN BEANS,,NONE,MICROWAVED,,NONE,BANANAS,GRAPES,PINEAPPLE
29,30,40-49,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,SPORTS,DAILY 6-7 WEEK ,BROCCOLI,CARROTS,CAULIFLOWER,CORN,GREEN BEANS,BROCCOLI,CARROTS,CORN,LETTUCE (ANY KIND),,NONE,BAKED,GRILLED,SAUTEED,APPLES,BLUEBERRIES,MELON
30,31,50-65,0,"CAUCASIAN, NON-HISPANIC;",MIDWEST,DANCING WITH THE STARS,4-5/WEEK,BROCCOLI,CAULIFLOWER,PEAS,SPINACH,SQUASH,BROCCOLI,CAULIFLOWER,PEAS,BROCCOLI,CAULIFLOWER,PEAS,BAKED,GRILLED,STEAMED,BLUEBERRIES,MANGOS,BLACKBERRIES
31,32,30-39,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,HOW I MET YOUR MOTHER,DAILY 6-7 WEEK ,CARROTS,CAULIFLOWER,BROCCOLI,SQUASH,CORN,CAULIFLOWER,CARROTS,SQUASH,CARROTS,BROCCOLI,LETTUCE (ANY KIND),BAKED,STEAMED,SAUTEED,STRAWBERRIES,RASPBERRIES,WATERMELON
32,33,20-29,0,BLACK OR AFRICAN AMERICAN;,MIDWEST,GREY’S ANATOMY ,4-5/WEEK,SPINACH,CORN,BROCCOLI,GREEN BEANS,LETTUCE (ANY KIND),LETTUCE (ANY KIND),CORN,SPINACH,BROCCOLI,CORN,GREEN BEANS,BAKED,GRILLED,SAUTEED,GRAPES,STRAWBERRIES,BANANAS
33,34,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,OUR FLAG MEANS DEATH,2-3/WEEK,CORN,PEAS,SPINACH,,NONE,CORN,PEAS,SPINACH,BROCCOLI,GREEN BEANS,SPINACH,BAKED,GRILLED,SAUTEED,RASPBERRIES,BLUEBERRIES,BANANAS
34,35,40-49,1,"CAUCASIAN, NON-HISPANIC;",MIDWEST,CHICAGO MED,4-5/WEEK,BROCCOLI,CAULIFLOWER,GREEN BEANS,SPINACH,ASPARAGUS,ASPARAGUS ,SPINACH,CAULIFLOWER,BROCCOLI,GREEN BEANS,SQUASH,GRILLED,,NONE,BANANAS,GRAPES,APPLES
